iter	Passed	Remaining
0	98	98579
1	145	72638
2	203	67792
3	256	63785
4	293	58353
5	341	56511
6	355	50410
7	405	50265
8	447	49259
9	491	48691
10	529	47604
11	633	52123
12	689	52371
13	776	54675
14	838	55038
15	894	55013
16	970	56124
17	1041	56806
18	1114	57567
19	1161	56897
20	1207	56303
21	1250	55607
22	1326	56344
23	1379	56093
24	1490	58145
25	1592	59665
26	1690	60925
27	1777	61697
28	1850	61966
29	1918	62024
30	1981	61931
31	2060	62341
32	2077	60875
33	2171	61689
34	2254	62147
35	2315	62017
36	2366	61597
37	2428	61482
38	2504	61720
39	2601	62429
40	2663	62293
41	2723	62120
42	2790	62100
43	2863	62225
44	2905	61659
45	2963	61468
46	3020	61244
47	3069	60880
48	3128	60713
49	3199	60797
50	3247	60421
51	3282	59848
52	3328	59466
53	3381	59246
54	3445	59191
55	3506	59102
56	3565	58982
57	3619	58782
58	3681	58724
59	3745	58684
60	3827	58917
61	3896	58957
62	3950	58758
63	4000	58514
64	4077	58656
65	4153	58781
66	4207	58596
67	4269	58514
68	4323	58340
69	4376	58143
70	4439	58083
71	4502	58037
72	4580	58170
73	4654	58238
74	4698	57946
75	4751	57769
76	4798	57525
77	4859	57438
78	4909	57234
79	4960	57045
80	5053	57340
81	5140	57549
82	5223	57712
83	5282	57606
84	5361	57710
85	5424	57654
86	5478	57497
87	5532	57339
88	5593	57256
89	5687	57507
90	5789	57828
91	5885	58091
92	5946	57991
93	6010	57931
94	6075	57877
95	6131	57739
96	6216	57869
97	6279	57797
98	6339	57692
99	6383	57454
100	6440	57324
101	6506	57279
102	6578	57290
103	6645	57257
104	6726	57338
105	6779	57181
106	6834	57037
107	6921	57162
108	6985	57100
109	7054	57075
110	7127	57082
111	7191	57017
112	7255	56951
113	7337	57025
114	7398	56935
115	7461	56863
116	7568	57118
117	7646	57154
118	7734	57261
119	7799	57196
120	7876	57217
121	7977	57409
122	8005	57077
123	8084	57111
124	8159	57114
125	8239	57153
126	8316	57169
127	8419	57360
128	8496	57368
129	8570	57353
130	8625	57221
131	8695	57182
132	8746	57018
133	8813	56955
134	8889	56960
135	8922	56685
136	8969	56503
137	9039	56462
138	9121	56500
139	9211	56583
140	9289	56595
141	9364	56580
142	9462	56707
143	9526	56631
144	9620	56729
145	9699	56733
146	9803	56889
147	9904	57016
148	9980	57003
149	10066	57042
150	10187	57279
151	10284	57378
152	10347	57284
153	10450	57411
154	10535	57433
155	10598	57342
156	10656	57219
157	10730	57184
158	10812	57193
159	10888	57163
160	10954	57085
161	11018	56999
162	11039	56689
163	11106	56616
164	11172	56539
165	11230	56423
166	11282	56276
167	11355	56236
168	11407	56090
169	11455	55931
170	11507	55789
171	11543	55570
172	11604	55475
173	11658	55346
174	11735	55326
175	11800	55247
176	11870	55195
177	11957	55220
178	12014	55103
179	12093	55093
180	12162	55035
181	12229	54965
182	12299	54912
183	12363	54830
184	12427	54747
185	12479	54616
186	12571	54655
187	12634	54569
188	12679	54406
189	12730	54271
190	12799	54212
191	12857	54110
192	12934	54084
193	12994	53987
194	13081	54003
195	13132	53870
196	13187	53752
197	13256	53696
198	13312	53586
199	13396	53585
200	13457	53494
201	13532	53458
202	13603	53406
203	13667	53328
204	13726	53233
205	13792	53161
206	13859	53094
207	13918	52998
208	13985	52929
209	14061	52899
210	14130	52839
211	14201	52785
212	14259	52686
213	14328	52625
214	14372	52477
215	14427	52367
216	14492	52294
217	14572	52274
218	14646	52231
219	14709	52152
220	14762	52035
221	14811	51905
222	14894	51897
223	14951	51795
224	15007	51693
225	15089	51676
226	15169	51657
227	15227	51559
228	15284	51458
229	15352	51399
230	15409	51298
231	15474	51224
232	15539	51152
233	15608	51093
234	15670	51012
235	15725	50906
236	15786	50822
237	15880	50843
238	15943	50765
239	15994	50648
240	16046	50535
241	16126	50510
242	16192	50444
243	16290	50474
244	16344	50368
245	16425	50344
246	16485	50258
247	16541	50157
248	16617	50120
249	16711	50134
250	16817	50185
251	16889	50132
252	16967	50097
253	17075	50150
254	17147	50097
255	17223	50054
256	17349	50158
257	17464	50228
258	17523	50134
259	17609	50119
260	17677	50051
261	17747	49990
262	17789	49851
263	17834	49721
264	17889	49618
265	17956	49549
266	18026	49487
267	18090	49410
268	18160	49350
269	18213	49244
270	18283	49184
271	18369	49166
272	18433	49087
273	18509	49044
274	18576	48973
275	18630	48872
276	18679	48754
277	18752	48703
278	18814	48620
279	18888	48570
280	18953	48497
281	18992	48355
282	19064	48300
283	19136	48245
284	19199	48167
285	19335	48269
286	19420	48247
287	19488	48180
288	19544	48083
289	19601	47989
290	19643	47859
291	19710	47791
292	19782	47733
293	19841	47646
294	19906	47573
295	19977	47514
296	20049	47456
297	20105	47363
298	20157	47258
299	20234	47213
300	20305	47155
301	20380	47104
302	20439	47018
303	20507	46950
304	20575	46884
305	20643	46819
306	20699	46726
307	20778	46683
308	20823	46567
309	20895	46509
310	20963	46442
311	21048	46415
312	21119	46354
313	21169	46248
314	21220	46145
315	21264	46027
316	21310	45914
317	21368	45828
318	21431	45752
319	21493	45673
320	21551	45586
321	21604	45490
322	21671	45422
323	21734	45346
324	21803	45284
325	21855	45186
326	21948	45172
327	22015	45105
328	22074	45020
329	22128	44927
330	22192	44854
331	22245	44759
332	22305	44677
333	22373	44612
334	22439	44544
335	22511	44486
336	22598	44459
337	22681	44423
338	22739	44339
339	22788	44235
340	22833	44127
341	22885	44031
342	22934	43930
343	22996	43853
344	23080	43820
345	23161	43779
346	23223	43703
347	23269	43597
348	23339	43535
349	23399	43457
350	23467	43391
351	23517	43294
352	23589	43236
353	23671	43197
354	23734	43123
355	23813	43078
356	23869	42991
357	23929	42913
358	23989	42834
359	24055	42765
360	24109	42676
361	24170	42598
362	24237	42533
363	24307	42470
364	24363	42386
365	24436	42330
366	24493	42245
367	24574	42204
368	24654	42159
369	24712	42077
370	24769	41995
371	24836	41927
372	24942	41926
373	25007	41857
374	25070	41783
375	25155	41747
376	25240	41711
377	25299	41630
378	25345	41529
379	25439	41507
380	25496	41422
381	25557	41346
382	25630	41290
383	25717	41254
384	25781	41183
385	25832	41090
386	25900	41025
387	25969	40961
388	26054	40922
389	26112	40842
390	26199	40807
391	26267	40741
392	26352	40701
393	26388	40586
394	26453	40517
395	26514	40441
396	26567	40353
397	26621	40266
398	26665	40164
399	26725	40088
400	26791	40019
401	26853	39946
402	26927	39889
403	26987	39813
404	27053	39744
405	27107	39659
406	27193	39621
407	27244	39531
408	27304	39455
409	27384	39406
410	27468	39365
411	27534	39297
412	27625	39264
413	27680	39179
414	27773	39150
415	27834	39075
416	27903	39011
417	27981	38959
418	28041	38882
419	28103	38809
420	28212	38800
421	28290	38749
422	28345	38665
423	28405	38588
424	28472	38521
425	28528	38440
426	28592	38368
427	28662	38306
428	28723	38231
429	28802	38179
430	28864	38106
431	28919	38023
432	29013	37992
433	29071	37914
434	29133	37839
435	29197	37769
436	29274	37715
437	29336	37641
438	29398	37567
439	29458	37492
440	29521	37421
441	29580	37344
442	29668	37303
443	29732	37232
444	29804	37172
445	29855	37085
446	29910	37003
447	29959	36914
448	30045	36871
449	30138	36835
450	30199	36762
451	30260	36687
452	30313	36604
453	30398	36558
454	30461	36486
455	30512	36400
456	30564	36315
457	30631	36249
458	30727	36217
459	30771	36123
460	30839	36057
461	30893	35976
462	30950	35897
463	31011	35824
464	31072	35749
465	31127	35669
466	31199	35608
467	31272	35548
468	31355	35500
469	31427	35439
470	31497	35376
471	31569	35314
472	31621	35231
473	31690	35167
474	31739	35079
475	31804	35011
476	31873	34947
477	31961	34904
478	32017	34824
479	32095	34770
480	32167	34709
481	32260	34669
482	32331	34607
483	32402	34544
484	32463	34471
485	32510	34384
486	32592	34332
487	32671	34278
488	32736	34208
489	32798	34136
490	32846	34050
491	32910	33980
492	32980	33916
493	33057	33860
494	33116	33785
495	33216	33751
496	33304	33706
497	33383	33651
498	33480	33614
499	33546	33546
500	33604	33470
501	33692	33423
502	33761	33358
503	33826	33289
504	33904	33233
505	33972	33166
506	34058	33118
507	34160	33084
508	34235	33025
509	34309	32964
510	34397	32916
511	34448	32833
512	34522	32772
513	34619	32733
514	34694	32673
515	34768	32612
516	34820	32530
517	34875	32451
518	34952	32393
519	35048	32352
520	35141	32308
521	35194	32227
522	35247	32147
523	35313	32078
524	35397	32026
525	35455	31950
526	35544	31902
527	35605	31829
528	35665	31755
529	35723	31679
530	35784	31606
531	35862	31548
532	35935	31485
533	35992	31409
534	36064	31345
535	36181	31321
536	36251	31256
537	36337	31204
538	36404	31136
539	36465	31063
540	36551	31011
541	36620	30944
542	36684	30874
543	36735	30793
544	36812	30733
545	36861	30650
546	36911	30568
547	36985	30506
548	37024	30415
549	37079	30337
550	37149	30272
551	37218	30205
552	37270	30126
553	37331	30054
554	37397	29985
555	37442	29900
556	37499	29824
557	37557	29750
558	37635	29691
559	37690	29613
560	37744	29536
561	37818	29474
562	37886	29407
563	37947	29335
564	38009	29263
565	38071	29192
566	38150	29134
567	38206	29058
568	38269	28987
569	38344	28926
570	38430	28873
571	38490	28800
572	38540	28720
573	38595	28644
574	38637	28558
575	38692	28482
576	38731	28394
577	38785	28317
578	38845	28245
579	38903	28171
580	38978	28110
581	39036	28036
582	39101	27967
583	39160	27894
584	39228	27828
585	39281	27752
586	39355	27689
587	39439	27634
588	39511	27570
589	39568	27497
590	39644	27435
591	39707	27366
592	39768	27294
593	39838	27229
594	39897	27157
595	39947	27078
596	40000	27001
597	40066	26934
598	40136	26869
599	40209	26806
600	40270	26735
601	40342	26671
602	40414	26607
603	40467	26531
604	40539	26467
605	40591	26391
606	40641	26313
607	40694	26237
608	40747	26161
609	40787	26077
610	40839	26000
611	40882	25918
612	40951	25853
613	41019	25787
614	41069	25710
615	41114	25629
616	41171	25556
617	41228	25484
618	41313	25428
619	41375	25359
620	41435	25288
621	41510	25226
622	41565	25153
623	41620	25078
624	41677	25006
625	41739	24937
626	41799	24866
627	41853	24792
628	41909	24719
629	41979	24654
630	42033	24580
631	42099	24513
632	42160	24443
633	42233	24380
634	42292	24309
635	42373	24251
636	42434	24181
637	42505	24117
638	42572	24051
639	42632	23981
640	42684	23905
641	42763	23846
642	42828	23778
643	42913	23722
644	42966	23647
645	43019	23574
646	43070	23499
647	43138	23433
648	43194	23360
649	43254	23290
650	43309	23218
651	43384	23156
652	43443	23085
653	43506	23017
654	43572	22950
655	43673	22902
656	43735	22833
657	43793	22762
658	43850	22690
659	43904	22617
660	43983	22557
661	44031	22481
662	44086	22408
663	44171	22351
664	44233	22282
665	44287	22210
666	44359	22146
667	44421	22077
668	44499	22016
669	44565	21950
670	44613	21874
671	44668	21802
672	44722	21730
673	44798	21668
674	44860	21599
675	44928	21533
676	44978	21459
677	45027	21384
678	45094	21318
679	45154	21249
680	45216	21180
681	45270	21108
682	45336	21042
683	45394	20971
684	45450	20900
685	45502	20827
686	45581	20767
687	45665	20708
688	45736	20644
689	45796	20575
690	45852	20504
691	45912	20434
692	45997	20377
693	46045	20302
694	46121	20240
695	46202	20180
696	46265	20112
697	46327	20044
698	46385	19974
699	46445	19905
700	46499	19833
701	46552	19761
702	46606	19690
703	46673	19624
704	46759	19566
705	46826	19499
706	46872	19425
707	46940	19359
708	47029	19302
709	47097	19237
710	47154	19167
711	47215	19098
712	47308	19042
713	47362	18971
714	47415	18899
715	47481	18833
716	47526	18758
717	47587	18690
718	47644	18620
719	47704	18551
720	47778	18488
721	47828	18415
722	47876	18342
723	47926	18270
724	48005	18209
725	48074	18143
726	48138	18076
727	48205	18010
728	48272	17944
729	48330	17875
730	48369	17799
731	48442	17735
732	48495	17664
733	48553	17595
734	48615	17528
735	48662	17455
736	48732	17390
737	48791	17321
738	48841	17249
739	48891	17178
740	48941	17106
741	49007	17040
742	49069	16972
743	49139	16908
744	49225	16848
745	49277	16778
746	49322	16704
747	49379	16635
748	49447	16570
749	49533	16511
750	49584	16439
751	49628	16366
752	49719	16309
753	49779	16241
754	49841	16173
755	49896	16104
756	49961	16037
757	50030	15972
758	50091	15905
759	50175	15844
760	50247	15780
761	50311	15713
762	50411	15658
763	50477	15592
764	50558	15531
765	50643	15470
766	50711	15405
767	50766	15335
768	50809	15262
769	50858	15191
770	50922	15124
771	50996	15061
772	51052	14991
773	51124	14927
774	51182	14859
775	51231	14788
776	51303	14724
777	51410	14669
778	51461	14599
779	51526	14533
780	51571	14461
781	51618	14389
782	51700	14328
783	51778	14265
784	51833	14196
785	51891	14128
786	51943	14058
787	51997	13989
788	52049	13919
789	52117	13853
790	52166	13783
791	52233	13717
792	52318	13656
793	52385	13591
794	52437	13521
795	52495	13453
796	52549	13384
797	52614	13318
798	52691	13255
799	52743	13185
800	52794	13116
801	52860	13050
802	52931	12985
803	52986	12917
804	53045	12849
805	53114	12784
806	53170	12716
807	53229	12648
808	53295	12582
809	53363	12517
810	53411	12447
811	53490	12384
812	53557	12318
813	53614	12251
814	53674	12183
815	53755	12121
816	53815	12054
817	53895	11991
818	53979	11929
819	54022	11858
820	54081	11791
821	54152	11726
822	54200	11656
823	54267	11591
824	54320	11522
825	54392	11458
826	54442	11388
827	54503	11322
828	54558	11253
829	54627	11188
830	54676	11119
831	54719	11049
832	54781	10982
833	54859	10919
834	54925	10853
835	55005	10790
836	55061	10722
837	55116	10655
838	55192	10591
839	55264	10526
840	55316	10458
841	55378	10391
842	55442	10325
843	55508	10259
844	55583	10195
845	55652	10130
846	55712	10063
847	55761	9994
848	55825	9928
849	55883	9861
850	55944	9795
851	56025	9732
852	56091	9666
853	56151	9599
854	56225	9535
855	56275	9466
856	56335	9400
857	56397	9333
858	56474	9269
859	56559	9207
860	56626	9141
861	56676	9073
862	56749	9008
863	56809	8942
864	56884	8877
865	56939	8810
866	57000	8743
867	57083	8680
868	57135	8613
869	57196	8546
870	57249	8479
871	57301	8411
872	57372	8346
873	57435	8280
874	57495	8213
875	57569	8149
876	57616	8080
877	57682	8015
878	57734	7947
879	57810	7883
880	57875	7817
881	57934	7750
882	58000	7685
883	58067	7619
884	58117	7552
885	58174	7485
886	58235	7418
887	58301	7353
888	58370	7288
889	58431	7221
890	58484	7154
891	58566	7091
892	58624	7024
893	58691	6958
894	58753	6892
895	58807	6825
896	58866	6759
897	58926	6693
898	58999	6628
899	59062	6562
900	59113	6495
901	59192	6431
902	59268	6366
903	59327	6300
904	59391	6234
905	59457	6168
906	59542	6105
907	59604	6039
908	59673	5973
909	59737	5908
910	59806	5842
911	59860	5776
912	59928	5710
913	59983	5643
914	60036	5577
915	60100	5511
916	60159	5445
917	60223	5379
918	60276	5312
919	60344	5247
920	60405	5181
921	60468	5115
922	60558	5052
923	60612	4985
924	60677	4919
925	60728	4853
926	60801	4788
927	60849	4721
928	60900	4654
929	60976	4589
930	61051	4524
931	61108	4458
932	61164	4392
933	61227	4326
934	61321	4262
935	61373	4196
936	61452	4131
937	61512	4065
938	61616	4002
939	61676	3936
940	61736	3870
941	61798	3805
942	61888	3740
943	61947	3674
944	62016	3609
945	62070	3543
946	62135	3477
947	62212	3412
948	62254	3345
949	62369	3282
950	62473	3218
951	62544	3153
952	62648	3089
953	62713	3023
954	62798	2959
955	62867	2893
956	62964	2829
957	63077	2765
958	63152	2699
959	63235	2634
960	63308	2569
961	63372	2503
962	63448	2437
963	63531	2372
964	63598	2306
965	63662	2240
966	63739	2175
967	63821	2109
968	63884	2043
969	63959	1978
970	64049	1912
971	64116	1846
972	64199	1781
973	64271	1715
974	64325	1649
975	64396	1583
976	64479	1517
977	64547	1451
978	64631	1386
979	64731	1321
980	64789	1254
981	64847	1188
982	64896	1122
983	64974	1056
984	65057	990
985	65115	924
986	65194	858
987	65275	792
988	65327	726
989	65416	660
990	65478	594
991	65545	528
992	65626	462
993	65695	396
994	65752	330
995	65817	264
996	65877	198
997	65965	132
998	66026	66
999	66091	0
